codigo,Nombre,ACC_deporte_tiempo_TransportePublico,ACC_deporte_tiempo_coche,ACC_educacion_tiempo_TransportePublico_Infantil_Publicos,ACC_educacion_tiempo_TransportePublico_Infantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Preinfantil_Publicos,ACC_educacion_tiempo_TransportePublico_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Primaria_Publicos,ACC_educacion_tiempo_TransportePublico_Primaria_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Secundaria_Publicos,ACC_educacion_tiempo_TransportePublico_Secundaria_PublicosPrivados,ACC_educacion_tiempo_coche_Infantil_Publicos,ACC_educacion_tiempo_coche_Infantil_PublicosPrivados,ACC_educacion_tiempo_coche_Preinfantil_Publicos,ACC_educacion_tiempo_coche_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_coche_Primaria_Publicos,ACC_educacion_tiempo_coche_Primaria_PublicosPrivados,ACC_educacion_tiempo_coche_Secundaria_Publicos,ACC_educacion_tiempo_coche_Secundaria_PublicosPrivados,ACC_farmacias_tiempo_TransportePublico,ACC_farmacias_tiempo_coche,ACC_gasolineras_tiempo_coche,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_OdontologiaEstomatologia,ACC_sanidad_tiempo_coche_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_coche_OfertaAsistencial_OdontologiaEstomatologia,ATR_ServiciosDeEducacion_ClusterPoblacion,ATR_ServiciosDeEducacion_ClusterEstadistica,ATR_CalidadDelAire_ClusterPoblacion,ATR_CalidadDelAire_ClusterEstadistica,ATR_TipologiaDePoblacion_ClusterPoblacion,ATR_TipologiaDePoblacion_ClusterEstadistica,ATR_AtractividadDeLosInmuebles_ClusterPoblacion,ATR_AtractividadDeLosInmuebles_ClusterEstadistica,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterPoblacion,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterEstadistica,ATR_DinamismosEconomico_ClusterPoblacion,ATR_DinamismosEconomico_ClusterEstadistica,OSM_supermercados_tiempo_coche,OSM_supermercados_tiempo_TransportePublico,IDE_PoblacionTotal,IDE_PrecioPorMetroCuadrado
28122,Ribatejada,13.64,3.22,15.44,15.44,14.26,14.26,16.62,16.62,82.41,82.41,3.77,3.77,3.37,3.37,4.17,4.17,24.46,24.46,12.88,3.24,23.64,18.27,114.19,3.63,40.86,0.83,0.7,0.44,0.44,0.51,0.58,0.53,0.47,0.45,0.72,0.47,0.49,3,25,911,1296
28124,Robledillo de la Jara,5.4,1.3,56.83,56.83,56.83,56.83,72.61,72.61,82.54,82.54,6.03,6.03,6.03,6.03,23.59,23.59,23.04,23.04,39.63,13.7,24.23,0.78,175.23,0.17,62.52,0.77,0.83,0.44,0.5,0.6,0.59,0.54,0.5,0.64,0.5,0.52,0.52,3,25,132,1171
28125,Robledo de Chavela,31.51,5.5,32.84,32.84,31.49,31.49,34.18,34.18,31.4,31.4,6.72,6.72,5.52,5.52,7.93,7.93,6.65,6.65,27.48,4.82,5.17,28.26,134.92,5.67,58.07,0.89,0.76,0.69,0.44,0.52,0.47,0.55,0.57,1.08,0.59,0.51,0.5,9,35,4763,1780
28126,Robregordo,12.32,2.67,73.09,73.09,73.09,73.09,21.21,21.21,21.21,21.21,17.38,17.38,17.38,17.38,11.48,11.48,11.48,11.48,76.82,18.92,2.68,4.37,120.93,0.97,57.87,0.77,0.83,0.44,0.5,0.56,0.56,0.49,0.5,0.7,0.58,0.53,0.53,5,28,73,750
28128,Rozas de Puerto Real,14.42,3.19,13.35,13.35,13.35,13.35,13.34,28.94,39.02,40.87,3.76,3.76,3.76,3.76,3.76,6.81,10.42,10.23,9.8,3.14,8.04,10.83,170.31,2.12,68.67,0.92,0.89,0.59,0.44,0.47,0.5,0.47,0.47,0.74,1.11,0.56,0.68,10,37,581,1329
28129,San Agustín del Guadalix,52.31,11.95,51.66,51.67,73.2,73.2,53.68,53.68,51.96,51.96,12.12,11.44,21.81,21.81,12.34,12.34,11.35,11.35,46.27,9.95,9.9,20.06,20.06,4.54,4.54,0.71,0.62,0.4,0.44,0.5,0.45,0.5,0.44,0.59,0.65,0.5,0.39,3,25,13849,3098
28130,San Fernando de Henares,8.23,2.31,9.42,8.86,8.95,8.95,9.81,9.81,3.92,3.92,3.54,3.25,2.76,2.76,3.67,3.67,1.94,1.94,8.7,4.37,4.25,9.94,9.94,3.03,3.03,0.76,0.87,0.42,0.44,0.59,0.54,0.46,0.46,0.58,0.39,0.65,0.64,4,27,38969,2906
28131,San Lorenzo de El Escorial,27.41,7.66,9.3,8.11,58.97,58.97,8.74,13.81,9.04,13.93,4.28,3.91,18.29,18.29,5.32,7.67,5.43,7.71,10.43,3.57,3.07,12.72,116.58,5.36,53.12,0.67,0.67,0.4,0.68,0.55,0.54,0.54,0.56,0.7,0.63,0.57,0.68,3,25,18772,2659
28132,San Martín de la Vega,15.92,4.09,11.76,10.07,4.2,4.2,14.13,13.22,17.76,13.23,4.48,3.79,1.17,1.17,5.59,5.25,4.98,4.27,10.5,3.1,2.45,4.18,86.95,1.08,26.26,0.65,0.68,0.43,1.33,0.5,0.4,0.4,0.41,0.56,0.93,0.47,0.38,6,30,20664,1687
28133,San Martín de Valdeiglesias,13.14,3.45,10.25,10.25,9.8,9.8,10.79,10.79,7.31,7.31,3.54,3.54,2.61,2.61,3.26,3.26,2.19,2.19,6.76,3.38,5.43,5.79,137.12,1.13,59.72,0.69,0.71,0.69,0.44,0.56,0.51,0.44,0.62,0.71,0.59,0.52,0.54,3,25,9120,1802
28135,Santa María de la Alameda,20.81,4.24,113.07,113.07,113.05,113.05,84.72,84.72,96.19,96.19,27.84,27.84,27.84,27.84,22.19,22.19,23.74,23.74,31.23,5.2,7.52,38.88,233.36,6.21,65.02,0.92,0.95,0.59,0.44,0.49,0.46,0.49,0.48,0.65,0.48,0.49,0.54,11,39,1516,1306
28136,Santorcaz,8.63,3.1,8.55,8.55,54.58,54.58,8.56,8.56,47.7,47.7,2.8,2.8,5.88,5.88,2.8,2.8,22.68,22.68,3.21,0.78,16.34,2.82,111.69,0.6,42.27,0.77,0.74,0.6,0.42,0.45,0.39,0.46,0.46,0.42,0.5,0.47,0.45,10,37,998,1506
28137,Santos de la Humosa (Los),13.83,2.62,14.91,13.7,11.0,11.0,18.82,18.82,49.43,49.43,3.7,3.81,2.92,2.92,4.48,4.48,17.8,17.8,6.7,3.5,8.97,11.55,104.4,2.87,37.37,0.77,0.74,0.41,0.67,0.49,0.44,0.51,0.46,0.42,0.49,0.44,0.4,9,35,2797,1209
28138,Serna del Monte (La),6.55,0.6,28.72,28.72,29.63,29.63,17.33,17.33,17.33,17.33,6.73,6.73,6.79,6.79,6.13,6.13,6.13,6.13,40.77,4.35,2.92,3.58,102.78,0.68,52.5,0.77,0.83,0.44,0.5,0.51,0.51,0.44,0.49,0.67,0.51,0.57,0.6,9,35,105,696
28140,Serranillos del Valle,12.68,2.26,4.61,5.37,3.45,3.45,5.78,5.78,26.09,26.09,1.19,1.35,0.96,0.96,1.41,1.41,7.88,7.88,1.33,0.44,5.49,2.95,26.01,0.94,8.84,0.65,0.6,0.43,0.59,0.42,0.45,0.45,0.46,0.58,0.58,0.47,0.5,3,25,4632,1581
28141,Sevilla la Nueva,7.76,2.71,8.19,8.37,5.57,5.57,7.92,8.21,6.26,7.53,2.91,2.82,2.29,2.29,2.83,3.02,3.12,3.25,7.65,1.99,3.58,8.27,104.12,2.74,32.6,0.69,0.67,0.69,0.35,0.46,0.49,0.45,0.4,0.61,0.66,0.45,0.46,3,25,9694,2381
28143,Somosierra,10.5,1.85,73.84,73.84,73.84,73.84,22.83,22.83,22.83,22.83,19.6,19.6,19.6,19.6,13.7,13.7,13.7,13.7,76.32,21.08,2.58,5.58,122.44,2.62,60.07,0.77,0.83,0.44,0.5,0.38,0.37,0.48,0.49,0.68,0.61,0.56,0.6,3,25,98,176
28144,Soto del Real,15.15,3.07,14.91,15.35,25.77,25.77,13.37,13.51,11.49,12.64,4.02,3.6,10.64,10.64,3.66,3.37,2.62,2.71,14.38,4.27,6.17,18.92,102.14,3.74,37.18,0.66,0.65,0.57,0.26,0.54,0.51,0.55,0.44,0.63,0.41,0.55,0.64,3,25,9436,2711
28145,Talamanca de Jarama,4.29,1.6,9.93,10.19,10.37,10.37,9.49,9.49,9.49,9.49,4.14,3.86,4.24,4.24,4.03,4.03,4.03,4.03,3.48,1.54,7.53,3.9,62.83,0.93,19.68,0.94,1.09,0.57,0.44,0.44,0.45,0.49,0.51,0.64,0.48,0.41,0.37,8,34,4526,1707
28146,Tielmes,1.15,0.23,7.62,7.62,8.35,8.35,6.9,6.9,135.19,135.19,2.02,2.02,2.52,2.52,1.52,1.52,7.98,7.98,7.63,3.48,1.92,9.58,101.16,1.82,33.23,0.79,0.86,0.6,0.42,0.57,0.58,0.45,0.48,0.41,0.48,0.49,0.52,4,27,2807,1223
28147,Titulcia,6.87,2.42,3.97,3.97,3.77,3.77,4.18,4.18,28.62,28.62,2.15,2.15,1.08,1.08,3.22,3.22,8.06,8.06,3.07,1.55,5.08,3.15,172.87,0.65,30.35,0.78,0.74,0.45,0.72,0.52,0.49,0.49,0.47,0.4,0.43,0.5,0.55,9,35,1393,1240
28149,Torrejón de la Calzada,4.67,0.68,9.67,10.15,74.41,74.41,8.61,9.61,8.11,9.85,2.67,2.63,7.4,7.4,1.73,2.0,1.64,2.09,4.84,1.48,2.29,8.06,43.8,2.83,7.69,0.65,0.64,0.43,0.59,0.49,0.53,0.46,0.47,0.55,0.47,0.49,0.57,3,25,10366,2244
